Year,Month,State,Megawatthours,Cents/kWh
2001,4,MS,1243906,4.33
2001,4,MT,263151,10.13
2001,4,NC,2809279,4.37
2001,4,ND,222113,3.86
2001,4,NE,569393,3.54
2001,4,NH,203301,9.31
2001,4,NJ,1014119,8.37
2001,4,NM,418063,5.31
2001,4,NV,996916,6.13
2001,4,NY,2052815,5.59
2001,4,OH,5383766,4.16
2001,4,OK,1029195,4.37
2001,4,OR,1095383,4.24
2001,4,PA,3706880,5.82
2001,4,RI,100184,10.5
2001,4,SC,2638038,3.77
2001,4,SD,132302,4.35
2001,4,TN,2686583,3.89
2001,4,TX,8229208,5.1
2001,4,UT,517957,3.85
2001,4,VA,1631893,4.18
2001,4,VT,126013,7.56
2001,4,WA,1710241,5
2001,4,WI,2006567,4.31
2001,4,WV,953871,3.69
2001,4,WY,663408,3.32
2001,5,AK,82847,7.65
2001,5,AL,2764527,3.91
2001,5,AR,1349419,4.63
2001,5,AZ,1004996,5.69
2001,5,CA,5525844,8.05
2001,5,CO,943467,4.72
2001,5,CT,520122,7.5
2001,5,DC,22792,4.15
2001,5,DE,299760,5.04
2001,5,FL,1714722,5.17
2001,5,GA,3040936,4.08
2001,5,HI,322265,11.41
2001,5,IA,1419266,4.36
2001,5,ID,600773,3.91
2001,5,IL,3500065,4.6
2001,5,IN,3644168,4.07
2001,5,KS,949800,4.57
2001,5,KY,3159686,3.06
2001,5,LA,2512420,6.08
2001,5,MA,838580,9.34
2001,5,MD,917221,4.04
2001,5,ME,395913,5.96
2001,5,MI,3039829,4.95
2001,5,MN,1837864,4.11
2001,5,MO,1339145,4.69
2001,5,MS,1305826,4.61
2001,5,MT,254439,9.19
2001,5,NC,2814468,4.37
2001,5,ND,223717,3.94
2001,5,NE,612489,3.6
2001,5,NH,218950,8.96
2001,5,NJ,1064273,8.34
2001,5,NM,457471,5.6
2001,5,NV,1021877,6.28
2001,5,NY,2111628,5.45
2001,5,OH,5419586,4.6
2001,5,OK,1178458,4.89
2001,5,OR,1249267,3.93
2001,5,PA,4004392,5.63
2001,5,RI,127386,9.6
2001,5,SC,2720846,3.6
2001,5,SD,136290,4.48
2001,5,TN,2769336,4.01
2001,5,TX,8556487,5.38
2001,5,UT,642064,3.67
2001,5,VA,1643304,4.18
2001,5,VT,133849,7.57
2001,5,WA,1911008,4.46
2001,5,WI,2201844,4.32
2001,5,WV,941008,3.74
2001,5,WY,629893,3.39
2001,6,AK,85913,7.88
2001,6,AL,2941857,3.69
2001,6,AR,1424656,4.89
2001,6,AZ,974624,5.79
2001,6,CA,5263687,8.92
2001,6,CO,907532,4.97
2001,6,CT,578506,7.48
2001,6,DC,23560,5.59
2001,6,DE,334580,4.91
2001,6,FL,1723031,4.94
2001,6,GA,2924893,4.64
2001,6,HI,313399,11.65
2001,6,IA,1391430,4.67
2001,6,ID,704200,3.68
2001,6,IL,3736532,5.08
2001,6,IN,3650667,4.18
2001,6,KS,875102,4.71
2001,6,KY,2718776,3.65
2001,6,LA,2586928,6.27
2001,6,MA,902380,9.8
2001,6,MD,895460,4.57
2001,6,ME,366192,7.03
2001,6,MI,2852626,5.09
2001,6,MN,1797950,4.6
2001,6,MO,1197204,5.05
2001,6,MS,1283967,4.65
2001,6,MT,295062,7.67
2001,6,NC,2890540,4.57
2001,6,ND,223496,4.33
2001,6,NE,652354,4.12
2001,6,NH,226309,8.98
2001,6,NJ,1108488,8.67
2001,6,NM,430391,5.54
2001,6,NV,925074,7.22
2001,6,NY,2357077,5.48
2001,6,OH,5515675,4.22
2001,6,OK,1102364,4.89
2001,6,OR,1046210,4.15
2001,6,PA,4097652,5.84
2001,6,RI,123517,9.92
