Year,Month,State,Thousand Dollars,Megawatthours,Cents/kWh,mkwh,Year_Month
2001,3,GA,184625,2761627,6.69,2762.0,2001.3
2001,3,HI,37846,251969,15.02,252.0,2001.3
2001,3,IA,41995,656329,6.4,656.0,2001.3
2001,3,ID,18541,411401,4.51,411.0,2001.3
2001,3,IL,229597,3352045,6.85,3352.0,2001.3
2001,3,IN,105018,1931870,5.44,1932.0,2001.3
2001,3,KS,59021,943058,6.26,943.0,2001.3
2001,3,KY,59563,1122222,5.31,1122.0,2001.3
2001,3,LA,118426,1255840,9.43,1256.0,2001.3
2001,3,MA,223300,2015810,11.08,2016.0,2001.3
2001,3,MD,123737,2266657,5.46,2267.0,2001.3
2001,3,ME,38259,370476,10.33,370.0,2001.3
2001,3,MI,220644,2833703,7.79,2834.0,2001.3
2001,3,MN,93459,1655883,5.64,1656.0,2001.3
2001,3,MO,105370,1982545,5.31,1983.0,2001.3
2001,3,MS,54194,803797,6.74,804.0,2001.3
2001,3,MT,17307,312723,5.53,313.0,2001.3
2001,3,NC,178863,2771773,6.45,2772.0,2001.3
2001,3,ND,15307,266848,5.74,267.0,2001.3
2001,3,NE,27900,537871,5.19,538.0,2001.3
2001,3,NH,34872,315534,11.05,316.0,2001.3
2001,3,NJ,239656,2781817,8.62,2782.0,2001.3
2001,3,NM,35810,499686,7.17,500.0,2001.3
2001,3,NV,40258,481153,8.37,481.0,2001.3
2001,3,NY,586269,4849454,12.09,4849.0,2001.3
2001,3,OH,267599,3209704,8.34,3210.0,2001.3
2001,3,OK,63419,953552,6.65,954.0,2001.3
2001,3,OR,63020,1242062,5.07,1242.0,2001.3
2001,3,PA,277988,3266838,8.51,3267.0,2001.3
2001,3,RI,32175,267817,12.01,268.0,2001.3
2001,3,SC,80549,1210846,6.65,1211.0,2001.3
2001,3,SD,15306,239808,6.38,240.0,2001.3
2001,3,TN,122940,1904149,6.46,1904.0,2001.3
2001,3,TX,479331,6120021,7.83,6120.0,2001.3
2001,3,UT,34102,616324,5.53,616.0,2001.3
2001,3,VA,133574,2319861,5.76,2320.0,2001.3
2001,3,VT,18281,158439,11.54,158.0,2001.3
2001,3,WA,112672,2009925,5.61,2010.0,2001.3
2001,3,WI,96587,1565591,6.17,1566.0,2001.3
2001,3,WV,30914,559715,5.52,560.0,2001.3
2001,3,WY,12626,242221,5.21,242.0,2001.3
2001,4,AK,19406,190078,10.21,190.0,2001.4
2001,4,AL,97545,1387448,7.03,1387.0,2001.4
2001,4,AR,41723,655184,6.37,655.0,2001.4
2001,4,AZ,116080,1618718,7.17,1619.0,2001.4
2001,4,CA,801771,7347522,10.91,7348.0,2001.4
2001,4,CO,74776,1320024,5.66,1320.0,2001.4
2001,4,CT,84581,924482,9.15,924.0,2001.4
2001,4,DC,41435,648962,6.38,649.0,2001.4
2001,4,DE,18342,275835,6.65,276.0,2001.4
2001,4,FL,418755,5627006,7.44,5627.0,2001.4
2001,4,GA,191194,2863580,6.68,2864.0,2001.4
2001,4,HI,36111,244573,14.76,245.0,2001.4
2001,4,IA,43734,659683,6.63,660.0,2001.4
2001,4,ID,19600,437974,4.48,438.0,2001.4
2001,4,IL,215916,3074234,7.02,3074.0,2001.4
2001,4,IN,101405,1864363,5.44,1864.0,2001.4
2001,4,KS,55710,904789,6.16,905.0,2001.4
2001,4,KY,55420,1079699,5.13,1080.0,2001.4
2001,4,LA,111452,1312581,8.49,1313.0,2001.4
2001,4,MA,208895,1820528,11.47,1821.0,2001.4
2001,4,MD,109746,1908758,5.75,1909.0,2001.4
2001,4,ME,34994,337662,10.36,338.0,2001.4
2001,4,MI,192158,2580644,7.45,2581.0,2001.4
2001,4,MN,88115,1401632,6.29,1402.0,2001.4
2001,4,MO,104900,1970817,5.32,1971.0,2001.4
2001,4,MS,59562,849959,7.01,850.0,2001.4
2001,4,MT,15574,301071,5.17,301.0,2001.4
2001,4,NC,182476,2836665,6.43,2837.0,2001.4
2001,4,ND,13516,226330,5.97,226.0,2001.4
2001,4,NE,27934,541837,5.16,542.0,2001.4
2001,4,NH,33670,298559,11.28,299.0,2001.4
2001,4,NJ,232998,2594971,8.98,2595.0,2001.4
2001,4,NM,37125,487830,7.61,488.0,2001.4
2001,4,NV,45201,520594,8.68,521.0,2001.4
2001,4,NY,534209,4650166,11.49,4650.0,2001.4
2001,4,OH,252990,2951709,8.57,2952.0,2001.4
2001,4,OK,61348,1016985,6.03,1017.0,2001.4
2001,4,OR,60199,1167395,5.16,1167.0,2001.4
2001,4,PA,267298,3107563,8.6,3108.0,2001.4
2001,4,RI,28816,221827,12.99,222.0,2001.4
2001,4,SC,84700,1309099,6.47,1309.0,2001.4
2001,4,SD,14020,214659,6.53,215.0,2001.4
2001,4,TN,128877,2002146,6.44,2002.0,2001.4
2001,4,TX,492976,6296600,7.83,6297.0,2001.4
2001,4,UT,35712,622890,5.73,623.0,2001.4
2001,4,VA,128307,2193286,5.85,2193.0,2001.4
2001,4,VT,15914,145324,10.95,145.0,2001.4
2001,4,WA,103428,1919974,5.39,1920.0,2001.4
2001,4,WI,87670,1380405,6.35,1380.0,2001.4
2001,4,WV,29473,532482,5.54,532.0,2001.4
2001,4,WY,11346,213434,5.32,213.0,2001.4
2001,5,AK,18304,179321,10.21,179.0,2001.5
2001,5,AL,106141,1641160,6.47,1641.0,2001.5
