Year,Month,State,industrial_usage
2004,11,ME,322
2004,12,ME,304
2005,1,ME,297
2005,2,ME,272
2005,3,ME,304
2005,4,ME,303
2005,5,ME,301
2005,6,ME,292
2005,7,ME,327
2005,8,ME,226
2005,9,ME,431
2005,10,ME,366
2005,11,ME,300
2005,12,ME,284
2006,1,ME,324
2006,2,ME,313
2006,3,ME,324
2006,4,ME,237
2006,5,ME,265
2006,6,ME,247
2006,7,ME,367
2006,8,ME,344
2006,9,ME,353
2006,10,ME,388
2006,11,ME,317
2006,12,ME,320
2007,1,ME,273
2007,2,ME,241
2007,3,ME,302
2007,4,ME,246
2007,5,ME,261
2007,6,ME,279
2007,7,ME,283
2007,8,ME,273
2007,9,ME,262
2007,10,ME,308
2007,11,ME,271
2007,12,ME,252
2008,1,ME,265
2008,2,ME,245
2008,3,ME,263
2008,4,ME,249
2008,5,ME,256
2008,6,ME,274
2008,7,ME,270
2008,8,ME,266
2008,9,ME,316
2008,10,ME,313
2008,11,ME,235
2008,12,ME,223
2009,1,ME,218
2009,2,ME,206
2009,3,ME,211
2009,4,ME,217
2009,5,ME,247
2009,6,ME,241
2009,7,ME,246
2009,8,ME,249
2009,9,ME,260
2009,10,ME,284
2009,11,ME,249
2009,12,ME,225
2010,1,ME,230
2010,2,ME,224
2010,3,ME,245
2010,4,ME,235
2010,5,ME,270
2010,6,ME,239
2010,7,ME,263
2010,8,ME,280
2010,9,ME,278
2010,10,ME,299
2010,11,ME,257
2010,12,ME,238
2011,1,ME,241
2011,2,ME,225
2011,3,ME,236
2011,4,ME,265
2011,5,ME,260
2011,6,ME,258
2011,7,ME,261
2011,8,ME,267
2011,9,ME,257
2011,10,ME,272
2011,11,ME,238
2011,12,ME,235
2012,1,ME,246
2012,2,ME,226
2012,3,ME,243
2012,4,ME,258
2012,5,ME,248
2012,6,ME,278
2012,7,ME,259
2012,8,ME,265
2012,9,ME,237
2012,10,ME,280
2012,11,ME,252
2012,12,ME,235
2013,1,ME,247
2013,2,ME,221
2013,3,ME,256
2013,4,ME,280
2013,5,ME,269
2013,6,ME,287
2013,7,ME,261
2013,8,ME,274
2013,9,ME,250
2013,10,ME,298
2013,11,ME,271
2013,12,ME,262
2014,1,ME,258
2014,2,ME,235
2014,3,ME,280
2014,4,ME,289
2014,5,ME,270
2014,6,ME,293
2014,7,ME,271
2014,8,ME,305
2014,9,ME,282
2014,10,ME,322
2014,11,ME,302
2014,12,ME,249
2015,1,ME,247
2015,2,ME,231
2015,3,ME,202
2015,4,ME,274
2015,5,ME,248
2015,6,ME,282
2015,7,ME,283
2015,8,ME,290
2015,9,ME,289
2015,10,ME,352
2015,11,ME,246
2015,12,ME,264
2016,1,ME,234
2016,2,ME,222
2016,3,ME,239
2016,4,ME,243
2016,5,ME,244
2016,6,ME,238
2016,7,ME,224
2016,8,ME,260
2016,9,ME,246
