YEAR,STATE,Coal,Geothermal,Hydroelectric Conventional,Natural Gas,Nuclear,Other,Other Biomass,Other Gases,Petroleum,Pumped Storage,Solar Thermal and Photovoltaic,Wind,Wood and Wood Derived Fuels,Unnamed: 15,Total
1990.0,NV,15053277.0,761192.0,1735081.0,2217027.0,0.0,0.0,0.0,0.0,284108.0,0.0,0.0,0.0,0.0,0.0,20050685.0
1990.0,NY,25913047.0,0.0,28188222.0,22724335.0,23623356.0,0.0,1568979.0,89034.0,33884855.0,-1054095.0,0.0,0.0,407959.0,0.0,135345692.0
1990.0,OH,115832650.0,0.0,181395.0,241585.0,10663897.0,0.0,304285.0,64159.0,374481.0,0.0,0.0,0.0,318075.0,0.0,127980527.0
1990.0,OK,25655347.0,0.0,2730594.0,18236766.0,0.0,0.0,1780.0,88970.0,76947.0,19764.0,0.0,0.0,268963.0,0.0,47079131.0
1990.0,OR,1317344.0,0.0,41240367.0,819328.0,6073796.0,0.0,90487.0,0.0,27777.0,0.0,0.0,539.0,802598.0,0.0,50372236.0
1990.0,PA,106677155.0,0.0,2869192.0,2833882.0,57787051.0,732.0,300109.0,841604.0,4654522.0,-879249.0,0.0,0.0,538313.0,0.0,175623311.0
1990.0,RI,0.0,0.0,9946.0,876943.0,0.0,0.0,34756.0,0.0,185671.0,0.0,0.0,0.0,0.0,0.0,1107316.0
1990.0,SC,23411867.0,0.0,3298066.0,787535.0,42880669.0,0.0,49561.0,0.0,172575.0,-506389.0,0.0,0.0,1269290.0,0.0,71363174.0
1990.0,SD,2472514.0,0.0,3934402.0,12408.0,0.0,0.0,0.0,0.0,8149.0,0.0,0.0,0.0,0.0,0.0,6427473.0
1990.0,TN,51825606.0,0.0,10015363.0,224146.0,14002591.0,45000.0,44919.0,4210.0,137067.0,-478151.0,0.0,0.0,366858.0,0.0,76187609.0
1990.0,TX,120921396.0,0.0,1793625.0,136234325.0,15859258.0,488731.0,333132.0,2997509.0,1827803.0,0.0,385.0,0.0,1103471.0,0.0,281559635.0
