,0,1,2,3
265,2003,10,ME,0
266,2003,11,ME,0
267,2003,12,ME,0
268,2004,01,ME,0
269,2004,02,ME,0
270,2004,03,ME,0
271,2004,04,ME,0
272,2004,05,ME,0
273,2004,06,ME,0
274,2004,07,ME,0
275,2004,08,ME,0
276,2004,09,ME,0
277,2004,10,ME,0
278,2004,11,ME,0
279,2004,12,ME,0
280,2005,01,ME,0
281,2005,02,ME,0
282,2005,03,ME,0
283,2005,04,ME,0
284,2005,05,ME,0
285,2005,06,ME,0
286,2005,07,ME,0
287,2005,08,ME,0
288,2005,09,ME,0
289,2005,10,ME,0
290,2005,11,ME,0
291,2005,12,ME,0
292,2006,01,ME,0
293,2006,02,ME,0
294,2006,03,ME,0
295,2006,04,ME,0
296,2006,05,ME,0
297,2006,06,ME,0
298,2006,07,ME,0
299,2006,08,ME,0
300,2006,09,ME,0
301,2006,10,ME,0
302,2006,11,ME,0
303,2006,12,ME,0
304,2007,01,ME,0
305,2007,02,ME,0
306,2007,03,ME,0
307,2007,04,ME,0
308,2007,05,ME,0
309,2007,06,ME,0
310,2007,07,ME,0
311,2007,08,ME,0
312,2007,09,ME,0
313,2007,10,ME,0
314,2007,11,ME,0
315,2007,12,ME,0
316,2008,01,ME,0
317,2008,02,ME,0
318,2008,03,ME,0
319,2008,04,ME,0
320,2008,05,ME,0
321,2008,06,ME,0
322,2008,07,ME,0
323,2008,08,ME,0
324,2008,09,ME,0
325,2008,10,ME,0
326,2008,11,ME,0
327,2008,12,ME,0
328,2009,01,ME,0
329,2009,02,ME,0
330,2009,03,ME,0
331,2009,04,ME,0
332,2009,05,ME,0
333,2009,06,ME,0
334,2009,07,ME,0
335,2009,08,ME,0
336,2009,09,ME,0
337,2009,10,ME,0
338,2009,11,ME,0
339,2009,12,ME,0
340,2010,01,ME,0
341,2010,02,ME,0
342,2010,03,ME,0
343,2010,04,ME,0
344,2010,05,ME,0
345,2010,06,ME,0
346,2010,07,ME,0
347,2010,08,ME,0
348,2010,09,ME,0
349,2010,10,ME,0
350,2010,11,ME,0
351,2010,12,ME,0
352,2011,01,ME,0
353,2011,02,ME,0
354,2011,03,ME,0
355,2011,04,ME,0
356,2011,05,ME,0
357,2011,06,ME,0
358,2011,07,ME,0
359,2011,08,ME,0
360,2011,09,ME,0
361,2011,10,ME,0
362,2011,11,ME,0
363,2011,12,ME,0
364,2012,01,ME,0
365,2012,02,ME,0
366,2012,03,ME,0
367,2012,04,ME,0
368,2012,05,ME,0
369,2012,06,ME,0
370,2012,07,ME,0
371,2012,08,ME,0
372,2012,09,ME,0
373,2012,10,ME,0
374,2012,11,ME,0
375,2012,12,ME,0
376,2013,01,ME,0
377,2013,02,ME,0
378,2013,03,ME,0
379,2013,04,ME,0
380,2013,05,ME,0
381,2013,06,ME,0
382,2013,07,ME,0
383,2013,08,ME,0
384,2013,09,ME,0
385,2013,10,ME,0
386,2013,11,ME,0
387,2013,12,ME,0
388,2014,01,ME,0
389,2014,02,ME,0
390,2014,03,ME,0
391,2014,04,ME,0
392,2014,05,ME,0
393,2014,06,ME,0
394,2014,07,ME,0
395,2014,08,ME,0
396,2014,09,ME,0
397,2014,10,ME,0
398,2014,11,ME,0
399,2014,12,ME,0
400,2015,01,ME,0
401,2015,02,ME,0
402,2015,03,ME,0
403,2015,04,ME,0
404,2015,05,ME,0
405,2015,06,ME,0
406,2015,07,ME,0
407,2015,08,ME,0
408,2015,09,ME,0
409,2015,10,ME,0
410,2015,11,ME,0
411,2015,12,ME,0
412,2016,01,ME,0
413,2016,02,ME,0
414,2016,03,ME,0
415,2016,04,ME,0
416,2016,05,ME,0
417,2016,06,ME,0
418,2016,07,ME,0
419,2016,08,ME,0
420,2016,09,ME,0
421,2016,10,ME,0
422,2016,11,ME,0
423,2016,12,ME,0
424,2017,01,ME,0
425,2017,02,ME,0
426,2017,03,ME,0
427,2017,04,ME,0
428,2017,05,ME,0
429,2017,06,ME,0
430,2017,07,ME,0
431,2017,08,ME,0
432,2017,09,ME,0
433,2017,10,ME,0
434,2017,11,ME,0
435,2017,12,ME,0
436,2018,01,ME,0
437,2018,02,ME,0
438,2018,03,ME,0
439,2018,04,ME,0
440,2018,05,ME,0
441,2018,06,ME,0
442,2018,07,ME,0
443,2018,08,ME,0
444,2018,09,ME,0
445,2018,10,ME,0
446,2018,11,ME,0
447,2018,12,ME,0
448,2019,01,ME,0
449,2019,02,ME,0
450,2019,03,ME,0
451,2019,04,ME,0
452,2019,05,ME,0
453,2019,06,ME,0
454,2019,07,ME,0
455,2019,08,ME,0
456,2019,09,ME,0
457,2019,10,ME,0
458,2019,11,ME,0
459,2019,12,ME,0
460,2020,01,ME,0
461,2020,02,ME,0
462,2020,03,ME,0
463,2020,04,ME,0
464,2001,01,MA,--
465,2001,02,MA,--
466,2001,03,MA,--
467,2001,04,MA,--
468,2001,05,MA,--
469,2001,06,MA,--
470,2001,07,MA,--
471,2001,08,MA,--
472,2001,09,MA,--
473,2001,10,MA,--
474,2001,11,MA,--
475,2001,12,MA,--
476,2002,01,MA,--
477,2002,02,MA,--
478,2002,03,MA,--
479,2002,04,MA,--
480,2002,05,MA,--
481,2002,06,MA,--
482,2002,07,MA,--
483,2002,08,MA,--
484,2002,09,MA,--
485,2002,10,MA,--
486,2002,11,MA,--
487,2002,12,MA,--
488,2003,01,MA,29
489,2003,02,MA,25
490,2003,03,MA,25
491,2003,04,MA,22
492,2003,05,MA,22
493,2003,06,MA,21
494,2003,07,MA,21
495,2003,08,MA,23
496,2003,09,MA,23
497,2003,10,MA,26
498,2003,11,MA,26
499,2003,12,MA,28
500,2004,01,MA,42
501,2004,02,MA,37
502,2004,03,MA,37
503,2004,04,MA,34
504,2004,05,MA,31
505,2004,06,MA,30
506,2004,07,MA,33
507,2004,08,MA,32
508,2004,09,MA,30
509,2004,10,MA,30
510,2004,11,MA,32
511,2004,12,MA,38
512,2005,01,MA,41
513,2005,02,MA,36
514,2005,03,MA,39
515,2005,04,MA,31
516,2005,05,MA,31
517,2005,06,MA,30
518,2005,07,MA,32
519,2005,08,MA,33
520,2005,09,MA,31
521,2005,10,MA,31
522,2005,11,MA,31
523,2005,12,MA,38
524,2006,01,MA,38
525,2006,02,MA,36
526,2006,03,MA,37
527,2006,04,MA,31
528,2006,05,MA,32
529,2006,06,MA,29
530,2006,07,MA,31
531,2006,08,MA,30
532,2006,09,MA,29
533,2006,10,MA,30
534,2006,11,MA,30
535,2006,12,MA,34
536,2007,01,MA,37
537,2007,02,MA,36
538,2007,03,MA,37
539,2007,04,MA,33
540,2007,05,MA,32
541,2007,06,MA,31
542,2007,07,MA,32
543,2007,08,MA,32
544,2007,09,MA,30
545,2007,10,MA,32
546,2007,11,MA,32
547,2007,12,MA,40
548,2008,01,MA,32
549,2008,02,MA,31
550,2008,03,MA,30
551,2008,04,MA,26
552,2008,05,MA,25
553,2008,06,MA,26
554,2008,07,MA,27
555,2008,08,MA,26
556,2008,09,MA,25
557,2008,10,MA,26
558,2008,11,MA,26
559,2008,12,MA,31
560,2009,01,MA,37
561,2009,02,MA,31
562,2009,03,MA,33
563,2009,04,MA,28
564,2009,05,MA,27
565,2009,06,MA,27
566,2009,07,MA,29
567,2009,08,MA,29
568,2009,09,MA,26
569,2009,10,MA,27
570,2009,11,MA,27
571,2009,12,MA,34
572,2010,01,MA,35
573,2010,02,MA,31
574,2010,03,MA,31
575,2010,04,MA,27
576,2010,05,MA,28
577,2010,06,MA,28
578,2010,07,MA,29
579,2010,08,MA,29
580,2010,09,MA,27
581,2010,10,MA,28
582,2010,11,MA,28
583,2010,12,MA,34
584,2011,01,MA,37
585,2011,02,MA,32
586,2011,03,MA,32
587,2011,04,MA,28
588,2011,05,MA,28
589,2011,06,MA,28
590,2011,07,MA,30
591,2011,08,MA,29
592,2011,09,MA,27
593,2011,10,MA,27
594,2011,11,MA,28
595,2011,12,MA,31
596,2012,01,MA,32
597,2012,02,MA,30
598,2012,03,MA,30
599,2012,04,MA,28
600,2012,05,MA,28
601,2012,06,MA,28
602,2012,07,MA,30
603,2012,08,MA,30
604,2012,09,MA,27
605,2012,10,MA,27
606,2012,11,MA,29
607,2012,12,MA,32
608,2013,01,MA,34
609,2013,02,MA,32
610,2013,03,MA,33
611,2013,04,MA,28
612,2013,05,MA,28
613,2013,06,MA,28
614,2013,07,MA,30
615,2013,08,MA,29
616,2013,09,MA,27
617,2013,10,MA,28
618,2013,11,MA,29
619,2013,12,MA,35
620,2014,01,MA,37
621,2014,02,MA,33
622,2014,03,MA,33
623,2014,04,MA,33
624,2014,05,MA,27
625,2014,06,MA,27
626,2014,07,MA,29
627,2014,08,MA,28
628,2014,09,MA,27
629,2014,10,MA,27
630,2014,11,MA,28
631,2014,12,MA,31
632,2015,01,MA,35
633,2015,02,MA,34
634,2015,03,MA,34
635,2015,04,MA,29
636,2015,05,MA,27
637,2015,06,MA,27
638,2015,07,MA,29
639,2015,08,MA,28
640,2015,09,MA,27
641,2015,10,MA,27
642,2015,11,MA,27
643,2015,12,MA,29
644,2016,01,MA,33
645,2016,02,MA,31
646,2016,03,MA,30
647,2016,04,MA,28
648,2016,05,MA,26
649,2016,06,MA,26
650,2016,07,MA,28
651,2016,08,MA,28
652,2016,09,MA,26
653,2016,10,MA,26
654,2016,11,MA,27
655,2016,12,MA,34
656,2017,01,MA,33
657,2017,02,MA,30
658,2017,03,MA,33
659,2017,04,MA,28
660,2017,05,MA,27
661,2017,06,MA,27
662,2017,07,MA,28
663,2017,08,MA,28
664,2017,09,MA,26
665,2017,10,MA,27
666,2017,11,MA,28
667,2017,12,MA,33
668,2018,01,MA,35
669,2018,02,MA,29
670,2018,03,MA,32
671,2018,04,MA,28
672,2018,05,MA,27
673,2018,06,MA,27
674,2018,07,MA,29
675,2018,08,MA,29
676,2018,09,MA,26
677,2018,10,MA,27
678,2018,11,MA,29
679,2018,12,MA,31
680,2019,01,MA,34
681,2019,02,MA,30
682,2019,03,MA,31
683,2019,04,MA,27
684,2019,05,MA,27
685,2019,06,MA,26
686,2019,07,MA,28
687,2019,08,MA,28
688,2019,09,MA,26
689,2019,10,MA,27
690,2019,11,MA,28
691,2019,12,MA,32
692,2020,01,MA,31
693,2020,02,MA,29
694,2020,03,MA,28
695,2020,04,MA,26
696,2001,01,NH,--
697,2001,02,NH,--
698,2001,03,NH,--
699,2001,04,NH,--
700,2001,05,NH,--
701,2001,06,NH,--
702,2001,07,NH,--
703,2001,08,NH,--
704,2001,09,NH,--
705,2001,10,NH,--
706,2001,11,NH,--
707,2001,12,NH,--
708,2002,01,NH,--
709,2002,02,NH,--
710,2002,03,NH,--
711,2002,04,NH,--
712,2002,05,NH,--
713,2002,06,NH,--
714,2002,07,NH,--
715,2002,08,NH,--
716,2002,09,NH,--
717,2002,10,NH,--
718,2002,11,NH,--
719,2002,12,NH,--
720,2003,01,NH,0
721,2003,02,NH,0
722,2003,03,NH,0
723,2003,04,NH,0
724,2003,05,NH,0
725,2003,06,NH,0
726,2003,07,NH,0
727,2003,08,NH,0
728,2003,09,NH,0
729,2003,10,NH,0
730,2003,11,NH,0
731,2003,12,NH,0
732,2004,01,NH,0
733,2004,02,NH,0
734,2004,03,NH,0
735,2004,04,NH,0
736,2004,05,NH,0
737,2004,06,NH,0
738,2004,07,NH,0
739,2004,08,NH,0
740,2004,09,NH,0
741,2004,10,NH,0
742,2004,11,NH,0
743,2004,12,NH,0
744,2005,01,NH,0
745,2005,02,NH,0
746,2005,03,NH,0
747,2005,04,NH,0
748,2005,05,NH,0
749,2005,06,NH,0
750,2005,07,NH,0
751,2005,08,NH,0
752,2005,09,NH,0
753,2005,10,NH,0
754,2005,11,NH,0
755,2005,12,NH,0
756,2006,01,NH,0
757,2006,02,NH,0
758,2006,03,NH,0
759,2006,04,NH,0
760,2006,05,NH,0
761,2006,06,NH,0
762,2006,07,NH,0
763,2006,08,NH,0
764,2006,09,NH,0
765,2006,10,NH,0
766,2006,11,NH,0
767,2006,12,NH,0
768,2007,01,NH,0
769,2007,02,NH,0
770,2007,03,NH,0
771,2007,04,NH,0
772,2007,05,NH,0
773,2007,06,NH,0
774,2007,07,NH,0
775,2007,08,NH,0
776,2007,09,NH,0
777,2007,10,NH,0
778,2007,11,NH,0
779,2007,12,NH,0
780,2008,01,NH,0
781,2008,02,NH,0
782,2008,03,NH,0
783,2008,04,NH,0
784,2008,05,NH,0
785,2008,06,NH,0
786,2008,07,NH,0
787,2008,08,NH,0
788,2008,09,NH,0
789,2008,10,NH,0
790,2008,11,NH,0
791,2008,12,NH,0
792,2009,01,NH,0
793,2009,02,NH,0
794,2009,03,NH,0
795,2009,04,NH,0
796,2009,05,NH,0
797,2009,06,NH,0
798,2009,07,NH,0
799,2009,08,NH,0
800,2009,09,NH,0
801,2009,10,NH,0
802,2009,11,NH,0
803,2009,12,NH,0
804,2010,01,NH,0
805,2010,02,NH,0
806,2010,03,NH,0
807,2010,04,NH,0
808,2010,05,NH,0
809,2010,06,NH,0
810,2010,07,NH,0
811,2010,08,NH,0
812,2010,09,NH,0
813,2010,10,NH,0
814,2010,11,NH,0
815,2010,12,NH,0
816,2011,01,NH,0
817,2011,02,NH,0
818,2011,03,NH,0
819,2011,04,NH,0
820,2011,05,NH,0
821,2011,06,NH,0
822,2011,07,NH,0
823,2011,08,NH,0
824,2011,09,NH,0
825,2011,10,NH,0
826,2011,11,NH,0
827,2011,12,NH,0
828,2012,01,NH,0
829,2012,02,NH,0
830,2012,03,NH,0
831,2012,04,NH,0
832,2012,05,NH,0
833,2012,06,NH,0
834,2012,07,NH,0
835,2012,08,NH,0
836,2012,09,NH,0
837,2012,10,NH,0
838,2012,11,NH,0
839,2012,12,NH,0
840,2013,01,NH,0
841,2013,02,NH,0
842,2013,03,NH,0
843,2013,04,NH,0
844,2013,05,NH,0
845,2013,06,NH,0
846,2013,07,NH,0
847,2013,08,NH,0
