YEAR,MONTH,STATE,Coal,Geothermal,Hydroelectric Conventional,Natural Gas,Nuclear,Other,Other Biomass,Other Gases,Petroleum,Pumped Storage,Solar Thermal and Photovoltaic,Total,Wind,Wood and Wood Derived Fuels,Country
2001,2,AR,1625228,0,287399,59236,1214538,24,692,0,59710,0,0,3372020,0,125193,US
2001,2,AZ,2912670,0,526752,920459,2186021,0,469,0,54796,15472,0,6616639,0,0,US
2001,2,CA,184141,951164,1290013,8870575,2229872,17302,167870,101840,354943,-172957,12568,14380392,147624,225437,US
2001,2,CO,2881716,0,86630,798303,0,0,5291,0,23430,-20545,0,3777266,2441,0,US
2001,2,CT,354781,0,33260,211055,620610,70847,76715,150,485208,0,0,1852626,0,0,US
2001,2,DC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,US
2001,2,DE,426947,0,0,20295,0,0,0,11235,62622,0,0,521099,0,0,US
2001,2,FL,5359079,0,7381,1866533,2631853,222937,158789,15,2375368,0,0,12761418,0,139463,US
2001,2,GA,4992600,0,189491,88746,2765573,603,2014,0,74072,-35921,0,8331590,0,254412,US
2001,2,HI,130576,15025,7784,0,0,11554,20547,2521,612729,0,0,800847,111,0,US
2001,2,IA,2741719,0,77023,22282,355555,564,7437,0,5977,0,0,3243662,33105,0,US
2001,2,ID,4367,0,429832,19717,0,9640,0,0,1054,0,0,503368,0,38758,US
2001,2,IL,6267815,0,11020,260449,7216833,3167,48388,27066,78925,0,0,13913663,0,0,US
2001,2,IN,9145681,0,37450,224426,0,1236,8555,206746,36557,0,0,9660651,0,0,US
2001,2,KS,2337579,0,0,57811,803086,0,0,0,75491,0,0,3273967,0,0,US
2001,2,KY,7340263,0,165380,20352,0,0,0,0,6968,0,0,7533754,0,791,US
2001,2,LA,1491934,0,71522,2478315,1339650,66788,4278,33342,420216,0,0,6105164,0,199119,US
2001,2,MA,965820,0,72302,562326,449547,59341,91723,0,974872,-41846,0,3145754,0,11669,US
2001,2,MD,2478517,0,154196,60195,1168618,17804,26399,32383,243200,0,0,4182074,0,762,US
2001,2,ME,44501,0,230248,579980,0,29714,18048,0,285136,0,0,1462646,0,275019,US
2001,2,MI,5351283,0,121859,721508,2565290,10241,43218,738,12087,-81078,0,8870735,0,125588,US
2001,2,MN,2750914,0,54945,81615,730018,17942,34647,0,52366,0,0,3840229,73164,44618,US
2001,2,MO,5232077,0,116616,55234,778452,788,773,0,48040,-16050,0,6215930,0,0,US
2001,2,MS,984824,0,0,162467,827395,6,0,0,677698,0,0,2743202,0,90812,US
2001,2,MT,1466221,0,598328,1222,0,0,0,0,33515,0,0,2105062,0,5776,US
2001,2,NC,5341522,0,163038,12718,3144188,26073,6849,44,42663,0,0,8862021,0,124926,US
2001,2,ND,2374049,0,129011,163,0,0,650,4726,5029,0,0,2513628,0,0,US
2001,2,NE,1519343,0,71285,6674,822821,0,1548,0,2739,0,0,2424581,171,0,US
2001,2,NH,323382,0,77909,6058,777519,4357,12686,0,8360,0,0,1280183,0,69912,US
2001,2,NJ,972218,0,1420,912088,2621513,30207,59187,37049,83312,-11001,0,4705993,0,0,US
2001,2,NM,2314453,0,23300,363322,0,0,1472,0,10843,0,0,2713390,0,0,US
2001,2,NV,1452390,94488,259764,1045180,0,0,0,0,116912,0,0,2968734,0,0,US
2001,2,NY,2157564,0,2012504,1854980,3366715,58081,92982,8362,1916731,-56774,0,11459532,1469,46918,US
2001,2,OH,10018529,0,31482,30051,1004907,0,1987,21729,20572,0,0,11161698,0,32441,US
2001,2,OK,2912803,0,372341,726694,0,0,0,5340,4969,-8947,0,4032517,0,19317,US
2001,2,OR,368807,0,2493914,775320,0,2993,3967,0,36584,0,0,3717815,2894,33336,US
2001,2,PA,8442301,0,180762,97925,6037563,58860,92887,42859,101470,-46161,0,15053400,849,44085,US
2001,2,RI,0,0,185,430410,0,0,8881,0,4043,0,0,443519,0,0,US
2001,2,SC,3037700,0,100591,32197,3437552,1711,2267,2,25382,-60712,0,6638018,0,61328,US
2001,2,SD,311423,0,229538,17349,0,0,0,0,13618,0,0,571928,0,0,US
2001,2,TN,4442511,0,624658,14373,2332668,1203,3414,1350,28611,-50819,0,7453653,0,55684,US
2001,2,TX,10236786,0,110148,11507834,3037626,92545,7462,114433,303792,0,0,25626521,141647,74248,US
2001,2,US-TOTAL,149735484,1073044,17472889,37966927,61272407,871949,1096331,675659,10341503,-706956,12568,282940198,431242,2697151,US
2001,2,UT,2595626,12367,41371,141602,0,296,393,0,4164,0,0,2795819,0,0,US
2001,2,VA,3130231,0,73714,99664,2204242,26861,41867,0,345496,-119617,0,5894142,0,91684,US
2001,2,VT,0,0,84041,250,355360,0,0,0,3284,0,0,477588,1472,33181,US
2001,2,WA,749045,0,4535742,906118,758058,5400,12885,0,36797,0,0,7088155,0,84110,US
2001,2,WI,3188659,0,122015,169069,972831,14415,25771,0,39054,0,0,4593527,3550,58163,US
2001,2,WV,7214856,0,113955,12904,0,1474,1954,8908,26681,0,0,7380732,0,0,US
2001,2,WY,3626521,0,38452,50255,0,6392,0,737,2113,0,0,3747141,22671,0,US
2001,3,AK,51920,0,99843,343858,0,0,0,0,91413,0,0,587115,81,0,US
2001,3,AL,5392921,0,1299668,389456,1873313,695,1339,12521,40390,0,0,9364445,0,354142,US
2001,3,AR,1450768,0,324613,138628,1030901,47,604,0,61015,0,0,3125261,0,118685,US
2001,3,AZ,2864765,0,727183,911656,2753990,0,506,0,49574,18226,0,7325900,0,0,US
2001,3,CA,102496,1052634,1764772,9474176,2468625,16492,174487,103127,283278,-152658,31498,15848633,299944,229762,US
2001,3,CO,2843836,0,98212,896100,0,0,6033,0,27538,-32253,0,3841540,2074,0,US
2001,3,CT,380582,0,33449,340208,643005,88297,95806,220,804686,0,0,2386253,0,0,US
2001,3,DC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,US
2001,3,DE,467953,0,0,142860,0,0,0,15449,240511,0,0,866773,0,0,US
2001,3,FL,5174341,0,17460,2752328,2874087,244963,173623,34,2742136,0,0,14114923,0,135951,US
2001,3,GA,6110807,0,369018,81784,2976878,663,1995,0,87492,-38189,0,9844453,0,254005,US
